arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
840465,1/1/2022,31/3/2025,0.0,,1.0,150.0,PR,Proiettore,1274.0,AT,A terra,,,,,,,41.9670436514765,12.303715941827464
782087,31/12/2021,31/12/2021,600.0,50.0,1.0,100.0,AU,Arredo urbano,964.0,SB,Sbraccio su palo,,,,,,,41.914637290363714,12.46202413529901
1133909,1/1/2024,13/2/2026,400.0,0.0,1.0,25.0,PR,Proiettore,3947.0,SB,Sbraccio su palo,,,,,,,41.79072471228087,12.434030616660884
691973,1/1/2022,13/2/2026,400.0,0.0,1.0,70.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.946905693184426,12.438616615373006
811976,1/1/2022,31/12/2025,700.0,0.0,1.0,125.0,AU,Arredo urbano,611.0,SB,Sbraccio su palo,,,,,,,41.8767812071118,12.60457400885867
63579,1/1/2018,31/12/2021,0.0,0.0,1.0,100.0,AS,Armatura stradale,8.0,TP,Testapalo,,,,,,,41.764088338452005,12.350709994727286
1124563,8/1/2025,13/2/2026,,,1.0,28.8,SS,Segnaletica luminosa stradale,2993.0,TP,Testapalo,,,,,,,41.826024317319124,12.50319375407952
342670,28/2/2017,30/4/2022,0.0,0.0,1.0,0.0,AU,Arredo urbano,189.0,NN,Non noto,,,,,,,41.73946122411358,12.255892682808607
831222,1/1/2022,31/3/2025,1000.0,75.0,1.0,49.0,AS,Armatura stradale,2417.0,SB,Sbraccio su palo,,,,,,,41.918586931012854,12.657786637409247
23661,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,PR,Proiettore,276.0,NN,Non noto,,,,,,,41.79095376372834,12.374834645524693
977761,1/1/2023,31/12/2023,900.0,200.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.786563958018014,12.391006642513785
1230528,1/1/2025,13/2/2026,800.0,300.0,1.0,25.0,AS,Armatura stradale,2089.0,SB,Sbraccio su palo,,,,,,,41.94835222405973,12.375098533671434
259662,28/9/2016,31/12/2019,800.0,0.0,1.0,54.0,AS,Armatura stradale,440.0,NN,Non noto,,,,,,,41.8270280510049,12.559149458930854
122056,1/1/2018,31/10/2020,1200.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.84636799889532,12.433773126899553
708986,1/1/2022,13/2/2026,850.0,100.0,1.0,73.0,AS,Armatura stradale,722.0,SB,Sbraccio su palo,,,,,,,41.77330406193799,12.327809099180687
559859,1/1/2020,31/12/2021,0.0,0.0,1.0,70.0,SP,Segnapasso,600.0,IN,Incassato,,,,,,,41.76653404084503,12.316388812360076
366213,23/1/2018,31/12/2021,0.0,100.0,1.0,70.0,LA,Lanterna artistica ,287.0,ME,Mensola,,,,,,,41.88938148683547,12.545269667408412
358841,14/6/2017,30/9/2022,0.0,0.0,1.0,100.0,NN,Non noto,104.0,NN,Non noto,,,,,,,41.81841712333505,12.488779468374725
844951,1/1/2022,13/2/2026,900.0,0.0,1.0,62.0,AS,Armatura stradale,1633.0,NN,Non noto,,,,,,,41.9035583705755,12.538694351103818
511646,1/1/2020,31/5/2023,800.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,TP,Testapalo,,,,,,,41.95173312640717,12.458543426769829
980959,8/1/2025,13/2/2026,400.0,,1.0,19.0,NN,Non noto,189.0,NN,Non noto,,,,,,,42.047795123694506,12.57702779314432
425642,1/10/2019,31/10/2020,800.0,0.0,1.0,49.0,AS,Armatura stradale,749.0,NN,Non noto,,,,,,,41.876924674589254,12.575747144019793
197948,28/6/2016,31/12/2021,800.0,200.0,1.0,61.0,AS,Armatura stradale,1243.0,SB,Sbraccio su palo,,,,,,,41.892542849887455,12.501446187749393
